class	method
IP115ProductionShadowStaticTest.java	legacyAuthorityAndProductionActivationRemainProtected
IP12ProductionShadowStaticTest.java	productionDefaultsCeilingPrivacyAndLegacyAuthorityAreProtected
MicrometerSearchShadowMetricSinkTest.java	bindsCountersTimersAndBoundedGauges
MicrometerSearchShadowMetricSinkTest.java	prohibitedHighCardinalityTagsAreDroppedWithoutPropagation
ProductionInternalAccountHashResolverTest.java	authenticatedNumericSubjectIsHashedWithoutRetention
ProductionInternalAccountHashResolverTest.java	anonymousAndMalformedSubjectsAreExcluded
ProductionKillSwitchCohortRegressionTest.java	defaultsAreKilledEmptyAndZeroSample
ProductionKillSwitchCohortRegressionTest.java	emergencyKillStopsAllSubsequentDispatchAndPreservesLegacyIdentity
ProductionProjectionAndEligibilityContractTest.java	projectionIsDeterministicIdempotentAndFailClosed
ProductionSearchShadowConfigurationTest.java	defaultProfileRemainsDisabledNoOp
ProductionSearchShadowConfigurationTest.java	productionProfileBindsOperationalGraphButDefaultsRemainKilledZeroAndEmpty
ProductionSearchShadowConfigurationTest.java	productionAndStageProfileConflictSelectsProductionFailClosedGraphOnly
ProductionSearchShadowConfigurationTest.java	elevenBasisPointsFailsStartup
ProductionSearchShadowDisableDrillTest.java	internalFixtureDispatchesThenRestartEquivalentKillStopsAllNewWork
ProductionSearchShadowDisableDrillTest.java	emptyCohortNeverDispatchesEvenWhenEnabledAtTenBps
ProductionSearchShadowPropertiesTest.java	defaultsAreKilledZeroSampleAndEmpty
ProductionSearchShadowPropertiesTest.java	approvedBoundsProduceConfiguredButStillExplicitState
ProductionSearchShadowPropertiesTest.java	samplingBoundaryRejectsNegativeAndAboveTen
ProductionSearchShadowPropertiesTest.java	resourceBoundsAndImmutableApprovedCeilingAreRejectedWhenChanged
ProductionSearchShadowPropertiesTest.java	allowlistIsTrimmedLowercasedDeduplicatedOnlyByRejection
ProductionSearchShadowResourceIsolationTest.java	approvedBudgetIsBoundedAndTimeoutInterruptsWithoutRequestThreadJoin
ProductionSearchShadowResourceIsolationTest.java	disabledConfigurationDoesNotResolveIdentityOrSubmitWork
ProductionSearchShadowSamplingGateTest.java	tenBasisPointsMeansTenOfTenThousandNotTenPercent
ProductionSearchShadowSamplingGateTest.java	zeroAlwaysExcludesAndElevenIsRejected
ProductionShadowTechnicalConfigurationTest.java	defaultContextCreatesOnlyKilledEmptyZeroCapability
ProductionShadowTechnicalConfigurationTest.java	explicitTechnicalTestGraphIsAvailableButProductionProfileAlwaysWins
