source_track	source_contract	source_schema_version	source_field	source_semantic	source_unit	source_authority	target_track	target_contract	target_schema_version	target_field	target_semantic	target_unit	target_authority	mapping_rule	required	nullable	identity_namespace	lineage_required	quality_requirement	privacy_class	retention_class	compatibility_status	failure_code
Data	recommendation-profile-input-v1	recommendation-profile-input-v1	subjectRef	profile subject reference	reference	Data projection	Recommendation	current P1 profile source	protected current schema	user/subject identity	profile subject	reference	Recommendation	approved explicit identity binding only	true	false	subject:<opaque-id>|user:<numeric-id>	true	VALIDATED	pseudonymous	projection_evidence_90d	CONDITIONALLY_COMPATIBLE	recommendation_identity_namespace_mismatch
Data	recommendation-profile-input-v1	recommendation-profile-input-v1	activityWindowDays	exact activity window	days	Data projection	Recommendation	current P1 profile source	protected current schema	observation window	profile observation window	days	Recommendation	exactly 7,30,90 and approved consumer mapping	true	false	none	true	VALIDATED	internal	projection_evidence_90d	CONDITIONALLY_COMPATIBLE	recommendation_window_mismatch
Data	recommendation-profile-input-v1	recommendation-profile-input-v1	interactionCounts	bounded behavior event counts	count	Data projection	Recommendation	current P1 profile source	protected current schema	behavior facts	profile input facts	count	Recommendation	explicit vocabulary mapping; no metric denominator change	true	false	subject binding	true	VALIDATED	pseudonymous	projection_evidence_90d	CONDITIONALLY_COMPATIBLE	recommendation_field_semantic_mismatch
Data	recommendation-profile-input-v1	recommendation-profile-input-v1	recentRegions	ranked region references	count+instant+reference	Data projection	Recommendation	current P1 profile source	protected current schema	region facts	profile region input	approved region fact	Recommendation	registered region semantics and stable ranking	false	false	subject binding	true	VALIDATED	pseudonymous	projection_evidence_90d	CONDITIONALLY_COMPATIBLE	recommendation_field_semantic_mismatch
Data	recommendation-profile-input-v1	recommendation-profile-input-v1	recentContentRefs	ranked content references	count+instant+reference	Data projection	Recommendation	current P1 profile source	protected current schema	content facts	profile content input	approved entity reference	Recommendation	entity refs only; no candidate/ranking authority	false	false	subject binding	true	VALIDATED	pseudonymous	projection_evidence_90d	CONDITIONALLY_COMPATIBLE	recommendation_authority_violation
Data	recommendation-profile-input-v1	recommendation-profile-input-v1	recentTagRefs	ranked tag references	count+instant+reference	Data projection	Recommendation	current P1 profile source	protected current schema	tag facts	profile tag input	approved tag reference	Recommendation	approved vocabulary mapping	false	false	subject binding	true	VALIDATED	pseudonymous	projection_evidence_90d	CONDITIONALLY_COMPATIBLE	recommendation_field_semantic_mismatch
Data	recommendation-profile-input-v1	recommendation-profile-input-v1	engagementSignals	positive behavior facts	count	Data projection	Recommendation	recommendation-metrics-v1	recommendation-metrics-v1	engagement_rate	P2 exposed-subject metric	ratio	Reliability	must not be used as P2 metric numerator/denominator without exact exposure dataset	false	false	subject binding	true	VALIDATED	pseudonymous	projection_evidence_90d	NOT_APPLICABLE	recommendation_metric_semantic_violation
Data	experiment-outcome-input-v1	experiment-outcome-input-v1	exposureRef	authoritative P2 exposure reference	reference	Reliability protected source	Recommendation	recommendation-evaluation-dataset-v1	recommendation-evaluation-dataset-v1	exposure authority	P2 denominator exposure	reference	Reliability	exact recommendation_p2_experiment_exposure binding	true	false	user:<numeric-id>|approved binding	true	VALIDATED	restricted	owner retention	COMPATIBLE	recommendation_authority_violation
Data	experiment-outcome-input-v1	experiment-outcome-input-v1	outcomeWindowSeconds	attribution window	seconds	Data projection	Recommendation	recommendation-metrics-v1	recommendation-metrics-v1	attribution window	engagement attribution window	seconds	Reliability	exactly 604800	true	false	none	true	VALIDATED	internal	projection_evidence_90d	COMPATIBLE	recommendation_window_mismatch
Data	experiment-outcome-input-v1	experiment-outcome-input-v1	clicked|liked|saved|shared	outcome booleans	boolean	Data projection	Recommendation	recommendation-evaluation-dataset-v1	recommendation-evaluation-dataset-v1	engagement observation	click like save share after exposure	boolean	Reliability	exact event set and exposure window	true	false	bound subject	true	VALIDATED	pseudonymous	projection_evidence_90d	COMPATIBLE	recommendation_metric_semantic_violation
