contractId	owner	status	evidence
platform-event-v1	Data	RECOVERED	PLATFORM-EVENT-CONTRACT-V1.md
behavior-event-taxonomy-v1	Data	RECOVERED	BEHAVIOR-EVENT-TAXONOMY-V1.md
data-platform-architecture-v1	Data	RECOVERED	DATA-PLATFORM-ARCHITECTURE-V1.md
event-idempotency-fingerprint-v1	Data	RECOVERED_FINGERPRINT_BLOCKED	EVENT-IDEMPOTENCY-AND-FINGERPRINT-V1.md
event-retry-quarantine-replay-v1	Data	RECOVERED	EVENT-RETRY-QUARANTINE-REPLAY-V1.md
data-lineage-snapshot-v1	Data	RECOVERED	DATA-LINEAGE-AND-SNAPSHOT-V1.md
data-retention-privacy-v1	Data	RECOVERED	DATA-RETENTION-AND-PRIVACY-V1.md
p0-recommendation-event-adapter-v1	Data	RECOVERED	P0-RECOMMENDATION-EVENT-ADAPTER-V1.md
dp-0-handoff-v1	Data	RECOVERED	DP-0-HANDOFF.md
sc-decision-register-v1	SC	ACTIVE	SC-DECISION-REGISTER.md
sc-raci-v1	SC	ACTIVE	SC-RACI.md
