decision	value
identity_mode	SYNTHETIC_OR_TEST_ACCOUNT_ONLY
identity_owner	PRIVACY_SECURITY
identity_authority	RCA2_NONPRODUCTION_TEST_ACCOUNT_ALLOWLIST_V1
identity_purpose_binding	RCA2_ISOLATED_NONPRODUCTION_DARK_READ_ONLY
identity_storage	ENCRYPTED_ENVIRONMENT_IDENTITY_REGISTRY
synthetic_retention	EXECUTION_LIFETIME
test_account_allowlist_retention_days	30
audit_retention_days	90
identity_deletion	IMMEDIATE_REMOVE_AND_REVOKE
identity_invalidation	IMMEDIATE_FAIL_CLOSED
identity_audit	HASHED_REFERENCE_AND_CLASSIFICATION_ONLY
identity_encryption	AT_REST_AND_IN_TRANSIT_REQUIRED
identity_logging_policy	NO_RAW_ID_OR_MAPPING_PAIR
identity_failure_policy	FAIL_CLOSED_KEEP_PRIMARY
actual_production_identity	BLOCKED
anonymous_nearest_alternate_inference	FORBIDDEN
