decision	value	status	owner	restriction
authoritative_main	f802a105e46a62718616acaa7a3db6c172e7ed10	VERIFIED	SC	exact work-start
rca0_pr	23	MERGED	SC	historical merge
rca0_exact_final_head	d33f7e152d0e40999ed8dc3f16c0a3f0bb980a9d	VERIFIED	SC	tree-identical to merge
entry	RCA1_ENTRY_AUTHORIZED	APPROVED	SC	implementation separate PR
classification	JOINT_INTELLIGENCE_RELIABILITY_ADOPTION	APPROVED	SC	RCA workstream
execution_model	MODEL_A_OFFLINE_DETERMINISTIC_RECONCILIATION	APPROVED	SC	single RCA-1 model
model_b	NON_PRODUCTION_READ_ONLY_RECONCILIATION	DEFERRED	SC+Operations	separate approval
model_c	CONTROLLED_RUNTIME_DARK_READ	BLOCKED	SC+Operations	RCA-2 candidate
identity_mode	SYNTHETIC_ONLY	APPROVED	SC	no real mapping
db_change	NONE	NOT_REQUIRED	SC	fixture/offline only
sql_allocation	NOT_REQUIRED	NOT_REQUIRED	SC	53+ unallocated
runtime_wiring	NOT_AUTHORIZED	BLOCKED	Operations	RCA-2 only
production_impact	NONE	APPROVED	SC	no runtime
production_activation	NOT_AUTHORIZED	BLOCKED	SC+Operations+Reliability	gates unchanged
p1_authority	CURRENT_SOURCE_UNCHANGED	PROTECTED	Intelligence	no transfer
p2_authority	CURRENT_SOURCE_DATASET_METRICS_UNCHANGED	PROTECTED	Reliability	no transfer
implementation	SEPARATE_PR_REQUIRED	APPROVED	SC	after SC-3 merge
