decision	value	owner
entry_result	RCA2_ENTRY_AUTHORIZED	SC
classification	JOINT_INTELLIGENCE_RELIABILITY_OPERATIONS_ADOPTION	SC
execution_environment	ISOLATED_NON_PRODUCTION_RUNTIME	SC
environment_a	REQUIRED_CI_RUNTIME_SIMULATION	SC
environment_b	APPROVED	SC
environment_c	BLOCKED	SC
runtime_model	ASYNC_POST_RESPONSE_SHADOW	SC
model_a	TEST_FALLBACK_ONLY	SC
model_c	BLOCKED_PENDING_QUEUE_EVENT_CONTRACT	SC
feature_flag_required	YES	Operations/SC
feature_flag_default	OFF	Operations/SC
unknown_flag	FAIL_CLOSED_OFF	Operations
initial_traffic_percent	0	SC
max_nonproduction_traffic_percent	100_STAGED	SC/Operations
max_production_dark_read_percent	0	SC
primary_result_authority	CURRENT_P1_P2_ONLY	SC
shadow_result_authority	NONE	SC
shadow_result_serving	FORBIDDEN	SC
shadow_failure_fallback	KEEP_PRIMARY_RESULT	Reliability
identity_mode	SYNTHETIC_OR_TEST_ACCOUNT_ONLY	Privacy/Security
runtime_freshness_policy	BLOCKED_PENDING_MEASUREMENT	Data/SC
retry_policy	NONE	Operations/Reliability
circuit_breaker	REQUIRED_LANE_AND_GLOBAL	Operations/Reliability
kill_switch	REQUIRED_LANE_AND_GLOBAL	Operations/SC
db_change	NONE	SC
sql_allocation	NOT_REQUIRED	SC
runtime_query_registry	YES_APPLICATION_CONTRACT_ONLY	SC/Data
persisted_evidence	NOT_REQUIRED	SC/Privacy
production_activation	NOT_AUTHORIZED	SC
authority_transfer	FORBIDDEN	SC
implementation	REQUIRES_SEPARATE_PR	SC
