check	status	evidence
actual_work_start	PASS	git ancestry and exact work-start
pr29_merge_tree_equivalence	PASS	merged PR #29 and RCA-2 tree equivalence
document_completeness	PASS	20 required documents
machine_readable_evidence	PASS	required TSV evidence
governance_only_diff	PASS	allowed governance/verifier/workflow paths only
historical_evidence_protection	PASS	RCA-0/1/1B/2 historical evidence unchanged
sql_protection	PASS	SQL 01..52 protected and 53+ absent
rca2_production_authority_boundary	PASS	OFF/0/no serving/no transfer
actual_traffic_1_percent	NOT_EXECUTED	governance-only
actual_endpoint	NOT_EXECUTED	not built
actual_credential	NOT_EXECUTED	not issued
actual_allowlist	NOT_EXECUTED	empty
runtime_observation	NOT_EXECUTED	not run
canary	NOT_EXECUTED	not authorized
load	NOT_EXECUTED	not authorized
production_route	NOT_EXECUTED	forbidden
production_identity	NOT_EXECUTED	forbidden
production_traffic	NOT_EXECUTED	forbidden
candidate_serving	NOT_EXECUTED	forbidden
authority_transfer	NOT_EXECUTED	forbidden
