key	value	status	note
work_start_sha	5a0ca52c8226a0f4a6e21f9af96c7da0732c8d5b	VERIFIED	actual GitHub main before changes
sc3_exact_final_head	e7f47f1e031a19cdf383f409235cad11c9209e83	VERIFIED	PR #24 final head
sc3_merge_commit	5a0ca52c8226a0f4a6e21f9af96c7da0732c8d5b	VERIFIED	PR #24 merge
execution_model	MODEL_A_OFFLINE_DETERMINISTIC_RECONCILIATION	APPROVED	no DB or runtime
identity_mode	SYNTHETIC_ONLY	APPROVED	fail closed
canonical_sql	01..52_PROTECTED	PROTECTED	no change
sql_53_plus	UNALLOCATED	PROTECTED	absent
production_activation	NOT_AUTHORIZED	PROTECTED	no production impact
p1_authority	CURRENT_P1_AUTHORITY_UNCHANGED	PROTECTED	RecommendationP1ProfileSource
p2_authority	CURRENT_P2_AUTHORITY_UNCHANGED	PROTECTED	RecommendationP2ObservationSource
