decision_id	topic	decision	status	owner	approver	evidence	effective_date	expiry_review_date	conditions	blockers	reversal_trigger	related_documents
IP11-DEC-001	Activation Owner	Project Owner is final production-shadow activation approver; unapproved activation is prohibited	APPROVED_WITH_CONDITIONS	Project Owner	Project Owner with required Backend/Security/Operations consultation	IP-11.75 owner approval record	2026-07-20	30 days or any source/build/policy change	IP-12 implementation; external attestation PASS; account allowlist; disable drill; explicit sample approval	operational account/contact detail and external attestation pending	owner/source/build/security incident	IP-11.75 Owner RACI; Activation Governance
IP11-DEC-002	Rollback Owner	Backend Owner decides and executes rollback; Project Owner may hold this role while role responsibilities remain separated	APPROVED_WITH_CONDITIONS	Backend Owner	Project Owner	IP-11.75 RACI and rollback amendment	2026-07-20	30 days or after incident	production contact path; measured rollback SLA; production drill	contact channel, measured SLA and production drill pending	incident or budget/control change	RACI; Emergency Runbook
IP11-DEC-003	Kill-switch Owner	Project Owner is primary kill-switch authority; Team Lead Youngtak is backup	APPROVED_WITH_CONDITIONS	Project Owner; backup Team Lead Youngtak	Project Owner + Team Lead Youngtak for policy changes	IP-11.75 owner approval record	2026-07-20	30 days or after drill	actual operating path; propagation verification; audit	remote/dynamic switch absent; restart/deployment path may be required; production drill pending	switch failure or guard bypass	RACI; Emergency Runbook
IP11-DEC-004	Runtime Input Source	Versioned Search read projection and projection-only provider are implemented; authoritative production use requires SQL 27/28 PostgreSQL attestation and Operations authority verification	OPEN_BLOCKER	Search/Intelligence + source owner pending	System Coordination + Operations	IP-11.5 projection contracts and migration 27/28	after external attestation	schema/producer/authority change	PostgreSQL replay; source ownership; Operations eligibility authority	SQL 27/28 not executed; Operations authority not externally verified	stale/private/deleted leakage	IP-11.5 Projection; Go/No-Go
IP11-DEC-005	Resource Budget	Initial controlled pilot bounds approved: core 1, max 2, queue 8, runtime 200ms, hard timeout <=300ms, candidates 100, current sample 0, pilot ceiling 10 BPS	APPROVED_FOR_INITIAL_PILOT	Project Owner + Backend Owner	Project Owner	IP-11.75 resource approval	2026-07-20	30 days or traffic/runtime/build change	external load/attestation; IP-12 enforces approved sampling ceiling 10 BPS	load evidence pending; code provisional sample capability broader than approved ceiling	saturation, legacy regression or budget breach	Resource/Sampling Approval; IP-11.5 Resource Contract
IP11-DEC-006	Sampling Ceiling	Effective production sample remains 0 BPS; initial pilot maximum is 10 BPS; 50/100 BPS require separate approvals	APPROVED_WITH_CONDITIONS	Project Owner	Project Owner + Backend Owner + Security/Privacy approval	IP-11.75 sampling approval	2026-07-20	30 days or cohort/resource/security change	IP-12; external attestation; actual allowlist; explicit enable; kill-switch drill	no current non-zero activation; actual cohort empty	budget/privacy/incident breach	Resource/Sampling Approval; Go/No-Go
IP11-DEC-007	Retention	Raw query/identity/JWT/session/full payload prohibited; aggregate evidence 14 days and error summary 30 days with automatic expiry when persistence exists	POLICY_APPROVED / STORAGE_IMPLEMENTATION_PENDING	Project Owner + Backend Owner	Project Owner + Team Lead Youngtak	IP-11.75 retention policy	2026-07-20	policy/data-purpose change	future writer must enforce TTL, ACL, deletion audit and immediate deletion path	production storage/writer/cleanup job not implemented	privacy incident or purpose change	Retention/Privacy Policy
IP11-DEC-008	Security/Privacy	Minimization controls approved: raw query/identity/JWT/session/full payload prohibited; private/deleted/unpublished/moderation-blocked content excluded; aggregate/bucket only	APPROVED_WITH_CONDITIONS	Security/Privacy Approver function: Project Owner + Team Lead Youngtak	Project Owner with Team Lead Youngtak co-approval	IP-11.75 policy approval	2026-07-20	30 days or persistence/source/control change	external production review; re-review when persistence is implemented	external production security review not executed	leakage, guard bypass or new persistence	Retention/Privacy Policy; Technical Controls
IP11-DEC-009	Observability	Spring Boot structured logging and Micrometer binding are implemented for the production shadow adapter	IMPLEMENTED / IP12_EXTERNAL_ATTESTATION_PENDING	Backend Owner + Project Owner	Project Owner	IP-12 Micrometer and Structured Logging	2026-07-20	instrumentation/destination change	Micrometer binding verification; manual metric-check procedure before pilot	new-source Spring/Micrometer execution pending	blind spot or unsafe tags	Observability Readiness; IP-11.5 Resource Contract
IP11-DEC-010	Production Cohort	Phase A internal-only policy approved for Project Owner, Team Lead Youngtak and Backend Owner; actual cohort remains empty until account IDs are supplied	POLICY_APPROVED / ACCOUNT_ALLOWLIST_PENDING	Project Owner	Project Owner + Team Lead Youngtak	IP-11.75 cohort approval	2026-07-20	cohort/account/sample change	explicit account allowlist; privacy-safe keys; audit	actual account identifiers not provided; effective cohort 0%	cohort leak or simultaneous sample expansion	Resource/Sampling Approval; Go/No-Go
IP11-DEC-011	Emergency Disable	Property/restart kill-switch path is implemented; Project Owner remains primary, Team Lead Youngtak backup and Backend Owner executor	IMPLEMENTED_WITH_CONDITIONS	Project Owner; Backend Owner executor; Team Lead Youngtak backup	Project Owner	IP-12 Kill-switch and Disable Drill	2026-07-20	after drill/incident/control-path change	actual production path; restart/property procedure; production drill and audit	Spring restart drill and actual deployment procedure pending	switch/drill failure	Emergency Runbook; Observability Readiness
IP11-DEC-012	External Attestation	IP-11.9 exact-SHA attestation completed; changed IP-12 source requires renewed Gradle/Spring attestation	IP12_REATTESTATION_PENDING	Independent Verifier / System Coordination	Project Owner receives result; System Coordination validates	IP-11.9 final attestation + IP-12 execution environment	when executed	max 30 days or source SHA change	Gradle 8.14.5; Spring contexts; SQL 27/28 PostgreSQL; JUnit XML; signed evidence	Gradle distribution unavailable in current IP-12 environment	source/task/schema change	External Attestation Plan; IP-11.75 Handoff
